MONTHERME;8800
MOLINET;3510
MONTIGNY SUR MEUSE;8170
MONETAY SUR LOIRE;3470
MONTIGNY SUR VENCE;8430
MONTAIGUET EN FOREZ;3130
MONT LAURENT;8130
MONTLUCON;3100
MONT ST REMY;8310
MURAT;3390
MOURON;8250
NEUVY;3000
NEUVILLE DAY;8130
PARAY LE FRESIL;3230
NEUVILLE LES THIS;8090
PARAY SOUS BRIAILLES;3500
NOUART;8240
PIERREFITTE SUR LOIRE;3470
NOVY CHEVRIERES;8300
POEZAT;3800
OCHES;8240
PREMILHAT;3410
OLIZY PRIMAT;8250
PERTHES;8300
POURU AUX BOIS;8140
POURU ST REMY;8140
PREZ;8290
PUILLY ET CHARBEAUX;8370
REMAUCOURT;8220
REMILLY LES POTHEES;8150
RIMOGNE;8150
ROCQUIGNY;8220
ROCROI;8230
ROIZY;8190
ROUVROY SUR AUDRY;8150
ST JUVIN;8250
ST LAMBERT ET MONT DE JEUX;8130
ST LOUP EN CHAMPAGNE;8300
ST MOREL;8400
SAVIGNY SUR AISNE;8400
SEMUY;8130
SIGNY L ABBAYE;8460
RONNET;3420
ST ANGEL;3170
ST BONNET TRONCAIS;3360
ST FELIX;3260
ST GERMAIN DES FOSSES;3260
ST LEON;3220
SIGNY LE PETIT;8380
ST LOUP;3150
SORCY BAUTHEMONT;8270
ST MARCEL EN MARCILLAT;3420
TAILLETTE;8230
ST NICOLAS DES BIEFS;3250
TAILLY;8240
ST PRIEST EN MURAT;3390
TARZY;8380
ST PRIX;3120
THELONNE;8350
ST SORNIN;3240
THENORGUES;8240
ST VOIR;3220
TOURNES;8090
SAUVAGNY;3430
VAUX EN DIEULET;8240
TEILLET ARGENTY;3410
VAUX LES RUBIGNY;8220
LE THEIL;3240
VENDRESSE;8160
THENEUILLE;3350
VENDRESSE;8160
TREZELLES;3220
VERRIERES;8390
VALIGNAT;3330
VIEL ST REMY;8270
VEAUCE;3450
VIEUX LES ASFELD;8190
VENDAT;3110
VILLERS LE TOURNEUR;8430
VERNEIX;3190
VILLERS SUR BAR;8350
LE VILHAIN;3350
VILLY;8370
ARCHAIL;4420
VOUZIERS;8400
AUBENAS LES ALPES;4110
VRIGNE AUX BOIS;8330
BEYNES;4270
WADELINCOURT;8200
BRAS D ASSE;4270
AIGUES VIVES;9600
LA BRILLANNE;4700
L AIGUILLON;9300
BRUNET;4210
ALEU;9320
LE CAIRE;4250
ALLIAT;9400
CASTELLANE;4120
ARTIGAT;9130
LE CASTELLARD MELAN;4380
AXIAT;9250
VAL DE CHALVAGNE;4320
AX LES THERMES;9110
LE CHAFFAUT ST JURSON;4510
LA BASTIDE DE BOUSIGNAC;9500
LE CHAFFAUT ST JURSON;4510
LA BASTIDE DU SALAT;9160
CHATEAUNEUF VAL ST DONAT;4200
BEDEILHAC ET AYNAT;9400
CHAUDON NORANTE;4330
BORDES UCHENTEIN;9800
CLARET;5110
BOUSSENAC;9320
CURBANS;5110
CAMARADE;9290
ENCHASTRAYES;4400
LE CARLARET;9100
ENTREPIERRES;4200
CASTEX;9350
ESPARRON DE VERDON;4800
CAUSSOU;9250
FAUCON DU CAIRE;4250
CELLES;9000
LE FUGERET;4240
COS;9000
GANAGOBIE;4310
COUSSA;9120
L HOSPITALET;4150
DUN;9600
